Country,popularity
australia,0.125
canada,0.10071942446043165
china,0.023952095808383235
india,0.0
mexico,0.012658227848101266
russia,0.08653846153846154
usa,0.10236220472440945
colombia,0.0
france,0.05263157894736842
italy,0.02
japan,0.16494845360824742
philippines,0.038461538461538464
spain,0.0
united_kingdom,0.11038961038961038
puerto_rico,0.0
argentina,0.0
germany,0.027522935779816515
israel,0.10204081632653061
paraguay,0.0
south_korea,0.020833333333333332
taiwan,0.023255813953488372
ukraine,0.1111111111111111
chile,0.0
dominican_republic,0.0
indonesia,0.0
peru,0.012578616352201259
thailand,0.08
turkey,0.046511627906976744
venezuela,0.0
denmark,0.09722222222222222
egypt,0.056179775280898875
hong_kong,0.012345679012345678
ireland,0.058823529411764705
morocco,0.018018018018018018
netherlands,0.05223880597014925
norway,0.05434782608695652
portugal,0.04081632653061224
vietnam,0.02666666666666667
bolivia,0.012345679012345678
bulgaria,0.1349206349206349
costa_rica,0.012195121951219513
ecuador,0.0
el_salvador,0.0
greece,0.0
guatemala,0.0
honduras,0.0
malaysia,0.03529411764705882
panama,0.0
poland,0.0759493670886076
sweden,0.032520325203252036
austria,0.06451612903225806
finland,0.07291666666666667
hungary,0.0989010989010989
iceland,0.08870967741935484
lithuania,0.10576923076923077
new_zealand,0.15873015873015872
nicaragua,0.0
romania,0.0975609756097561
singapore,0.045454545454545456
south_africa,0.029850746268656716
switzerland,0.041666666666666664
uruguay,0.0
czech_republic,0.13385826771653545
mongolia,0.06299212598425197
pakistan,0.009900990099009901
saudi_arabia,0.11320754716981132
brazil,0.01834862385321101
